------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.562584083076997e-01  2.000195662801704e+01  4.500000000000000e+00        1
 1.999925356168168e+00 -5.454237086148398e-03  0.000000000000000e+00 -4.059131200693823e-01  1.948685094897706e+01  4.503153041429663e+00        2
 5.999776068504504e+00 -4.250518052530919e-02  0.000000000000000e+00 -7.575318466929349e-01  1.794493375788109e+01  4.571955142808814e+00        3
 9.999626780840842e+00 -1.112186073643001e-01  0.000000000000000e+00 -1.086527424662485e+00  1.594233949269279e+01  4.728812678333710e+00        4
 1.399947749317718e+01 -1.941982740880619e-01  0.000000000000000e+00 -1.166303241309517e+00  1.372888991091030e+01  4.928192012779983e+00        5
 1.799932820551351e+01 -2.740479371815355e-01  0.000000000000000e+00 -1.002583262767729e+00  1.155440677003175e+01  5.124559510923264e+00        6
 2.187655716116622e+01 -3.320273652474974e-01  0.000000000000000e+00 -5.972214955693775e-01  9.719793168332590e+00  5.269015249954000e+00        7
 2.575378611681892e+01 -3.548749218164036e-01  0.000000000000000e+00 -8.238849982634834e-02  8.384075538895287e+00  5.326383382378525e+00        8
 2.963101507247163e+01 -3.431778887160697e-01  0.000000000000000e+00  2.898232242692889e-01  7.482950897579363e+00  5.268242900320551e+00        9
 3.273244081700055e+01 -3.195744581843967e-01  0.000000000000000e+00  5.222639113664224e-01  6.885842159914246e+00  5.156700530670533e+00       10
 3.583386656152948e+01 -2.866382858442124e-01  0.000000000000000e+00  6.662900882112397e-01  6.355482356819133e+00  5.011325890809844e+00       11
 3.893529230605841e+01 -2.474433980764101e-01  0.000000000000000e+00  7.850631328999146e-01  5.851990232781183e+00  4.854247129013977e+00       12
 4.203671805058734e+01 -2.016498679796645e-01  0.000000000000000e+00  1.087427624947692e+00  5.344634969213470e+00  4.700578437807615e+00       13
 4.513814379511626e+01 -1.297253535303060e-01  0.000000000000000e+00  1.552724732448542e+00  4.866361521794007e+00  4.519743092232337e+00       14
 4.823956953964519e+01 -3.357218162418558e-02  0.000000000000000e+00  1.940275304852169e+00  4.413095475591884e+00  4.314746890002362e+00       15
 5.137473896919258e+01  8.143154182773618e-02  0.000000000000000e+00  2.202933633297536e+00  3.964762774362446e+00  4.095194524215741e+00       16
 5.450990839873997e+01  2.074532035874932e-01  0.000000000000000e+00  2.415908437837256e+00  3.510655604632628e+00  3.875591087557548e+00       17
 5.764507782828737e+01  3.457455319172286e-01  0.000000000000000e+00  2.793640856769498e+00  3.046820729050796e+00  3.662243515171454e+00       18
 6.078024725783476e+01  5.130627100695369e-01  0.000000000000000e+00  3.275441328217275e+00  2.592258619928932e+00  3.444693641971257e+00       19
 6.391541668738216e+01  7.040082572404758e-01  0.000000000000000e+00  3.644909838616672e+00  2.134520636573249e+00  3.223530798060367e+00       20
 6.705058611692955e+01  9.116855704204211e-01  0.000000000000000e+00  3.888193194751744e+00  1.659006668261844e+00  3.000299197923432e+00       21
 7.018575554647694e+01  1.129198046599751e+00  0.000000000000000e+00  4.103711514569322e+00  1.151116604272809e+00  2.776543056045099e+00       22
 7.332092497602434e+01  1.360403914447367e+00  0.000000000000000e+00  4.424710168984463e+00  6.197021825898400e-01  2.553784550687388e+00       23
 7.645609440557173e+01  1.612948567944056e+00  0.000000000000000e+00  4.803154327848968e+00  7.143531238709259e-02  2.331053823274913e+00       24
 7.999701424672674e+01  1.919410918104824e+00  0.000000000000000e+00  5.110948506753914e+00 -5.975213224707315e-01  2.076612009441511e+00       25
 8.361441073352026e+01  2.250644502458862e+00  0.000000000000000e+00  5.377306636125929e+00 -1.369318271061805e+00  1.810158400565436e+00       26
 8.723180722031380e+01  2.597412233176569e+00  0.000000000000000e+00  5.699127949038304e+00 -2.272799573112995e+00  1.534314684560755e+00       27
 9.111413081915089e+01  2.995401241872735e+00  0.000000000000000e+00  6.076632485909429e+00 -3.433089714256145e+00  1.229360469899585e+00       28
 9.499645441798798e+01  3.419366384412506e+00  0.000000000000000e+00  6.494236759132779e+00 -4.767219528150435e+00  9.158378667691828e-01       29
 9.999626780840840e+01  3.999999999999999e+00  0.000000000000000e+00  6.668866995263733e+00 -6.692830012819811e+00  5.000000000000002e-01       30
